#UTCTIME
StationID,DATETIME,Type,VALUE
1,2012-01-14 00:00:00,SED,0.092
1,2012-01-15 00:00:00,SED,0.1925
1,2012-01-16 00:00:00,SED,0.1671
1,2012-02-27 00:00:00,SED,0.2095
1,2012-02-28 00:00:00,SED,0.2082
1,2012-02-29 00:00:00,SED,0.1194
1,2012-03-04 00:00:00,SED,0.2523
1,2012-03-05 00:00:00,SED,0.2555
1,2012-03-06 00:00:00,SED,0.24
1,2012-03-07 00:00:00,SED,0.436
1,2012-03-08 00:00:00,SED,0.3308
1,2012-03-09 00:00:00,SED,0.1181
1,2012-04-08 00:00:00,SED,0.092
1,2012-04-09 00:00:00,SED,0.1878
1,2012-04-11 00:00:00,SED,0.2932
1,2012-04-12 00:00:00,SED,0.2452
1,2012-04-13 00:00:00,SED,0.5617
1,2012-04-14 00:00:00,SED,0.1693
1,2012-04-15 00:00:00,SED,0.3679
1,2012-04-16 00:00:00,SED,0.0964
1,2012-04-17 00:00:00,SED,0.0269
1,2012-04-24 00:00:00,SED,0.1394
1,2012-04-25 00:00:00,SED,0.8233
1,2012-04-26 00:00:00,SED,0.4793
1,2012-04-28 00:00:00,SED,0.6519
1,2012-04-29 00:00:00,SED,0.5317
1,2012-04-30 00:00:00,SED,0.286
1,2012-05-01 00:00:00,SED,0.855
1,2012-05-02 00:00:00,SED,0.493
1,2012-05-03 00:00:00,SED,0.5802
1,2012-05-04 00:00:00,SED,0.5273
1,2012-05-09 00:00:00,SED,0.334
1,2012-05-10 00:00:00,SED,0.368
1,2012-05-12 00:00:00,SED,0.108
1,2012-05-27 00:00:00,SED,1.1944
1,2012-05-28 00:00:00,SED,1.7594
1,2012-05-29 00:00:00,SED,0.487
1,2012-05-30 00:00:00,SED,0.276
1,2012-06-01 00:00:00,SED,0.308
1,2012-06-02 00:00:00,SED,0.3278
1,2012-06-03 00:00:00,SED,0.2648
1,2012-06-15 00:00:00,SED,0.273
1,2012-06-16 00:00:00,SED,0.273
1,2012-06-17 00:00:00,SED,0.2847
1,2012-06-23 00:00:00,SED,0.273
1,2012-06-24 00:00:00,SED,0.8145
1,2012-06-25 00:00:00,SED,0.4461
1,2012-07-03 00:00:00,SED,0.1778
1,2012-07-04 00:00:00,SED,0.174
1,2012-07-06 00:00:00,SED,0.322
1,2012-07-15 00:00:00,SED,0.364
1,2012-07-16 00:00:00,SED,0.2826
1,2012-07-18 00:00:00,SED,0.7079
1,2012-07-19 00:00:00,SED,0.7664
1,2012-07-20 00:00:00,SED,0.93
1,2012-07-23 00:00:00,SED,0.532
1,2012-07-25 00:00:00,SED,0.8808
1,2012-07-26 00:00:00,SED,1.0484
1,2012-07-27 00:00:00,SED,0.8284
1,2012-07-29 00:00:00,SED,0.824
1,2012-07-30 00:00:00,SED,0.6102
1,2012-08-03 00:00:00,SED,0.0881
1,2012-08-04 00:00:00,SED,0.322
1,2012-08-06 00:00:00,SED,0.193
1,2012-08-07 00:00:00,SED,0.568
1,2012-08-08 00:00:00,SED,0.3308
1,2012-08-10 00:00:00,SED,0.505
1,2012-08-11 00:00:00,SED,1.3346
1,2012-08-20 00:00:00,SED,0.698
1,2012-08-21 00:00:00,SED,0.5165
1,2012-08-22 00:00:00,SED,0.581
1,2012-08-23 00:00:00,SED,0.539
1,2012-11-20 00:00:00,SED,0.392
1,2012-11-21 00:00:00,SED,0.3859
1,2012-11-22 00:00:00,SED,1.0251
1,2012-11-23 00:00:00,SED,1.04
1,2012-11-24 00:00:00,SED,0.399
1,2012-11-25 00:00:00,SED,0.155
1,2012-11-26 00:00:00,SED,0.4006
1,2012-11-27 00:00:00,SED,0.3041
1,2012-11-28 00:00:00,SED,0.5291
1,2012-11-29 00:00:00,SED,0.5172
1,2012-11-30 00:00:00,SED,0.4647
